tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0110912	movie	Pulp Fiction	Pulp Fiction	0	1994	\N	154	Crime,Drama
tt0133093	movie	The Matrix	The Matrix	0	1999	\N	136	Action,Sci-Fi
tt0042621	movie	Juliette, or Key of Dreams	Juliette ou La clef des songes	0	1951	\N	106	Drama
tt0042622	movie	Julius Caesar	Julius Caesar	0	1950	\N	106	Drama,History
tt0042625	movie	Justice Is Done	Justice est faite	0	1950	\N	105	Drama,Mystery
tt0042626	movie	Pirates	Kaizoku-sen	0	1951	\N	114	Adventure
tt2352779	tvEpisode	Episode #1.4	Episode #1.4	0	2012	\N	\N	Action,Family
tt5120964	tvEpisode	Ben steht zwischen den Fronten	Ben steht zwischen den Fronten	0	2010	\N	\N	Drama,Romance
tt4920934	tvSeries	Film Journeys	Film Journeys	0	2014	\N	15	Biography
tt4920766	tvEpisode	13. komnata Jaroslava Cejky	13. komnata Jaroslava Cejky	0	2008	\N	\N	Biography,Documentary
tt0000005	short	Blacksmith Scene	Blacksmith Scene	0	1893	\N	1	Comedy,Short
tt0000061	short	Dancing Girls	Dancing Girls	0	1896	\N	\N	Short
tt0000075	short	The Conjuring of a Woman at the House of Robert Houdin	Escamotage d'une dame au théâtre Robert Houdin	0	1896	\N	1	Horror,Short
tt0000065	short	Dessinateur: Reine Victoria	Dessinateur: Reine Victoria	0	1896	\N	\N	Short
tt0000417	short	A Trip to the Moon	Le voyage dans la lune	0	1902	\N	13	Action,Adventure,Comedy
tt0496232	short	Ayer fuí al cine con Marta y no entendí nada	Ayer fuí al cine con Marta y no entendí nada	0	1996	\N	19	Short
t12427530	movie	2020 Election: The Democratic Bid	2020 Election: The Democratic Bid	0	2019	\N	113	Documentary
tt1099601	tvEpisode	Episode dated 5 September 2007	Episode dated 5 September 2007	0	2007	\N	\N	News,Sport,Talk-Show
tt0000003	short	Pauvre Pierrot	Pauvre Pierrot	0	1892	\N	4	Animation,Comedy,Romance