"uuid"	"patent_id"	"section_id"	"subsection_id"	"group_id"	"subgroup_id"	"category"	"sequence"
"03d2d985-fbf3-433d-8ed9-70a01f223dc0"	"10019910"	"G"	"G06"	"G06F"	"G06F16/24575"	"inventional"	3
"116fc124-ad83-4bce-8f41-9d6b6c0ca7e7"	"10019910"	"Y"	"Y10"	"Y10S"	"Y10S706/927"	"additional"	30
"1aeecd58-2bda-48ba-8a69-72749557c5a5"	"10019910"	"G"	"G09"	"G09B"	"G09B19/00"	"additional"	29
"2813c528-de12-4eba-adad-dea30c8555f0"	"10019910"	"G"	"G06"	"G06Q"	"G06Q10/1093"	"inventional"	16
"283fcd06-db5f-4c90-a78a-efafc84ffb6e"	"10019910"	"G"	"G09"	"G09B"	"G09B5/14"	"inventional"	24
"28a40dbe-e73c-4a47-8203-ab1d2e43139b"	"10019910"	"G"	"G06"	"G06F"	"G06F16/2457"	"inventional"	2
"2c9b2f47-c501-4655-99bb-12d74e086168"	"10019910"	"G"	"G09"	"G09B"	"G09B5/06"	"inventional"	22
"4dc32351-365c-4f55-953a-bfa84af463e1"	"10019910"	"G"	"G06"	"G06F"	"G06F15/0266"	"inventional"	1
"58b1fd7e-a180-4543-bf72-ac598580aac8"	"10019910"	"G"	"G09"	"G09B"	"G09B5/08"	"inventional"	23
"64c02932-113f-47aa-b142-a58d26d12322"	"10019910"	"G"	"G09"	"G09B"	"G09B5/02"	"inventional"	21
"7bfa8fc9-158e-4256-9b44-f67fd96f20c7"	"10019910"	"G"	"G09"	"G09B"	"G09B5/00"	"inventional"	20
"7f7cced2-1f3c-4a5d-904c-25832808bd4e"	"10019910"	"G"	"G06"	"G06Q"	"G06Q10/063116"	"inventional"	10
"813e2d0f-46b3-4d5b-9e83-c75730053101"	"10019910"	"G"	"G09"	"G09B"	"G09B7/02"	"inventional"	26
"8b925d46-9d4e-4251-ae09-020af12ab827"	"10019910"	"Y"	"Y10"	"Y10S"	"Y10S707/99943"	"additional"	31
"8d4f7754-9698-4290-813b-3019a7320a8f"	"10019910"	"G"	"G06"	"G06Q"	"G06Q10/1097"	"inventional"	17
"8de3a3f6-cb13-4da1-8ddc-4ac11de25ff2"	"10019910"	"G"	"G06"	"G06Q"	"G06Q10/109"	"inventional"	15
"9353772e-e339-4f26-b411-82c25beb4b00"	"10019910"	"G"	"G06"	"G06Q"	"G06Q10/10"	"inventional"	13
"9882b0ad-b87f-4e2c-b944-63e7d8420c50"	"10019910"	"G"	"G06"	"G06Q"	"G06Q50/205"	"inventional"	19
"9dbaa34e-2871-403f-82fa-bf6a33dbe957"	"10019910"	"G"	"G06"	"G06Q"	"G06Q10/101"	"inventional"	14
"a2735d45-af11-4380-b98a-1113c033665f"	"10019910"	"G"	"G06"	"G06Q"	"G06Q10/06"	"inventional"	6
"aa00c9d3-3b9c-4ec9-a00c-a26fe8b35dba"	"10019910"	"G"	"G06"	"G06Q"	"G06Q10/0631"	"inventional"	7
"abd983ce-ea8a-4b82-9db0-1dbb67b0a3d9"	"10019910"	"G"	"G09"	"G09B"	"G09B7/07"	"inventional"	0
"ac20df6b-83f2-4b9a-8eb3-162bae607aab"	"10019910"	"G"	"G06"	"G06Q"	"G06Q10/06316"	"inventional"	12
"b75c5be9-9676-4648-90c8-b73c68378aac"	"10019910"	"Y"	"Y10"	"Y10S"	"Y10S715/963"	"additional"	32
"bd077805-2e17-49eb-9d66-bb81e90c642e"	"10019910"	"G"	"G09"	"G09B"	"G09B7/00"	"inventional"	25
"c688b10d-e621-4cac-bd75-3435cf743aa8"	"10019910"	"G"	"G06"	"G06Q"	"G06Q50/20"	"inventional"	18
"d37ba473-5f48-4827-92dc-0a6b5059bfb0"	"10019910"	"G"	"G06"	"G06Q"	"G06Q10/06314"	"inventional"	11
"df14b823-f1f6-431a-8ecc-831ef64a3b85"	"10019910"	"G"	"G09"	"G09B"	"G09B7/08"	"inventional"	28
"eb0c92b0-1cec-473c-8391-007c52045f80"	"10019910"	"G"	"G06"	"G06F"	"G06F16/335"	"inventional"	4
"f2024616-4987-49a4-b47b-e1da30800604"	"10019910"	"G"	"G06"	"G06Q"	"G06Q10/063114"	"inventional"	9
"f6cd2578-7158-4b4b-8766-f4f897edeff8"	"10019910"	"G"	"G09"	"G09B"	"G09B7/04"	"inventional"	27
"f70d83a2-693f-4d80-80d2-5a62c9626f33"	"10019910"	"G"	"G06"	"G06Q"	"G06Q10/06311"	"inventional"	8
"fbe46bf3-abd1-428d-a543-23e53f465a03"	"10019910"	"G"	"G06"	"G06F"	"G06F16/9535"	"inventional"	5
"171969ec-5b3e-476c-a608-b9bd2e21f7a6"	"10347145"	"G"	"G09"	"G09B"	"G09B5/065"	"inventional"	1
"3fce4219-613f-441b-9798-1af2b82bf627"	"10347145"	"G"	"G09"	"G09B"	"G09B7/04"	"inventional"	3
"60ee6e72-0726-4a33-8671-7815b08acb5e"	"10347145"	"Y"	"Y10"	"Y10S"	"Y10S706/927"	"additional"	9
"699f8ed6-ba2b-49e8-bc3d-1a40d4bf311b"	"10347145"	"G"	"G09"	"G09B"	"G09B7/00"	"inventional"	2
"71f57c39-1020-4a41-8e26-dfd6e456f5de"	"10347145"	"H"	"H04"	"H04H"	"H04H60/33"	"additional"	7
"8ee31d0b-e8c8-4732-859f-22ec958a670a"	"10347145"	"H"	"H04"	"H04H"	"H04H60/375"	"additional"	8
"9e8f1448-62aa-489e-a220-e10347145740"	"9287402"	"H"	"H01"	"H01L"	"H01L29/0649"	"inventional"	6
"ad011e39-64a5-4ca5-ab8c-8c02c39ed43d"	"10347145"	"H"	"H04"	"H04H"	"H04H60/65"	"inventional"	4
"bd71ce8a-7801-4520-b24e-8773e3e9fc4c"	"10347145"	"G"	"G09"	"G09B"	"G09B5/00"	"additional"	6
"dc41505e-3e1b-4b1c-a5ef-88020b3a8f0b"	"10347145"	"G"	"G09"	"G09B"	"G09B7/02"	"inventional"	0
"fe4bb0da-bd25-4cc8-97f0-de40aa1d573c"	"10347145"	"G"	"G06"	"G06F"	"G06F13/24"	"additional"	5
"0b6da250-529c-4577-8f16-07ae5fc3956f"	"10354127"	"G"	"G08"	"G08B"	"G08B13/19615"	"inventional"	9
"1d5bbd43-6e0c-40b6-a7d0-8c4a78411207"	"10354127"	"G"	"G08"	"G08B"	"G08B6/00"	"inventional"	5
"24a09a0b-1e10-48f0-a0a1-0bc1199329e0"	"10354127"	"G"	"G06"	"G06T"	"G06T7/33"	"inventional"	4
"36497f25-08b8-4782-b413-2e85a9000e56"	"10354127"	"G"	"G06"	"G06F"	"G06F9/451"	"additional"	14
"3b96650d-80df-4afa-8c93-cfbda340fb30"	"10354127"	"G"	"G01"	"G01V"	"G01V5/0008"	"inventional"	1
"3bec1b45-1fa5-4ccc-bbd1-7554de728124"	"10354127"	"G"	"G08"	"G08B"	"G08B31/00"	"inventional"	11
"40e56fdb-3f5e-4bf3-9021-a4b760da5981"	"10354127"	"G"	"G06"	"G06T"	"G06T2207/20076"	"additional"	16
"6d053007-2700-4b2a-8ac1-8bb31a278f61"	"10354127"	"G"	"G06"	"G06T"	"G06T7/292"	"inventional"	3
"705828cd-f637-4e2a-8f39-866b16a574ad"	"10354127"	"G"	"G08"	"G08B"	"G08B13/19613"	"inventional"	8
"7138e395-a6f3-4e87-80f5-d441bf30f107"	"10354127"	"G"	"G08"	"G08B"	"G08B13/19608"	"inventional"	7
"87dff9b2-3649-41a7-b490-f739915783af"	"10354127"	"G"	"G06"	"G06K"	"G06K9/00771"	"inventional"	2
"924979b4-311b-41d6-8ab0-2b1401250bb4"	"10354127"	"G"	"G06"	"G06K"	"G06K9/00335"	"inventional"	0
"9334539d-2396-4aa3-b0b9-c390b1c5da3d"	"10354127"	"G"	"G06"	"G06T"	"G06T2207/30232"	"additional"	18
"985c38a3-0223-421c-b36a-38d854a81680"	"10354127"	"G"	"G06"	"G06T"	"G06T2207/10028"	"additional"	15
"a55fab45-0540-4e8f-ab04-181ed2d17ef7"	"10354127"	"H"	"H04"	"H04N"	"H04N7/188"	"inventional"	13
"a6fe61b6-c5d7-4a3d-9b1d-1076be354d1c"	"10354127"	"G"	"G06"	"G06T"	"G06T2207/20081"	"additional"	17
"aa7871f9-277d-41a3-837d-f0434ac9bd91"	"10354127"	"H"	"H04"	"H04N"	"H04N7/181"	"inventional"	12
"bd207eb8-5482-46ca-a2bd-c2551414035a"	"10354127"	"G"	"G08"	"G08B"	"G08B13/19641"	"inventional"	10
"d8a3d4dd-aa1a-44bc-9ca1-4c472d893912"	"10354127"	"G"	"G08"	"G08B"	"G08B13/19602"	"inventional"	6
"eb79dfd6-017b-4668-88a5-7a99c7ae4085"	"10354127"	"Y"	"Y10"	"Y10S"	"Y10S706/933"	"additional"	19
"083247ca-b281-4cfe-83ad-eb088d045c1e"	"10775863"	"G"	"G06"	"G06F"	"G06F1/10"	"inventional"	3
"092e2b3e-b460-4999-a064-15293897f034"	"10775863"	"Y"	"Y02"	"Y02D"	"Y02D10/00"	"additional"	11
"17067cb0-ae09-4c60-bb1f-05fcd850f3ba"	"10775863"	"G"	"G06"	"G06F"	"G06F1/206"	"inventional"	5
"1cd7679d-7400-4308-8fd1-a516a47776ec"	"10775863"	"G"	"G05"	"G05D"	"G05D23/24"	"inventional"	2
"2e0bc04c-433f-488f-b1c8-bcca020973f9"	"10775863"	"G"	"G06"	"G06F"	"G06F1/329"	"inventional"	8
"4afb3e88-cfa8-4c9b-8d13-25566e54b226"	"10775863"	"G"	"G05"	"G05D"	"G05D23/1934"	"inventional"	1
"66e0b320-1ec4-4284-9b35-487ef6223785"	"10775863"	"G"	"G06"	"G06F"	"G06F1/3203"	"inventional"	6
"6dc4444a-bdd6-4314-9181-0f42185a79a2"	"10775863"	"G"	"G08"	"G08G"	"G08G1/167"	"inventional"	10
"921e6884-ed4f-40df-8920-28877439212c"	"10775863"	"G"	"G06"	"G06F"	"G06F1/3296"	"inventional"	9
"9f6ee837-20f3-416c-8631-06280c38c4b4"	"10775863"	"G"	"G06"	"G06F"	"G06F1/26"	"inventional"	0
"b9aac2ba-89dc-48c2-aaa4-0595a23a5f6f"	"10775863"	"G"	"G06"	"G06F"	"G06F1/324"	"inventional"	7
"ce2baae8-3b1d-4064-b554-8e635a496dae"	"10775863"	"Y"	"Y10"	"Y10S"	"Y10S706/90"	"additional"	12
"e280f766-046b-4ca7-b147-bcc06477c8fe"	"10775863"	"G"	"G06"	"G06F"	"G06F1/20"	"inventional"	4
"0a7fdd3e-aea6-4e9d-9701-621d4bffe0fd"	"10849564"	"A"	"A61"	"A61N"	"A61N1/3925"	"inventional"	6
"2cd93d30-54bb-4471-a594-b76fb9fe4f11"	"10849564"	"A"	"A61"	"A61B"	"A61B5/7257"	"inventional"	3
"2e8e3106-6c6b-4423-a379-2c343a1ebbed"	"10849564"	"A"	"A61"	"A61B"	"A61B5/7264"	"inventional"	0
"4ed094f0-551d-4944-8f7b-f1831d32bd16"	"10849564"	"Y"	"Y10"	"Y10S"	"Y10S128/92"	"additional"	12
"62e2669a-93de-493f-8bca-f1edac1ed9db"	"10849564"	"A"	"A61"	"A61H"	"A61H31/005"	"inventional"	5
"919cf7c5-2e2b-459f-acc5-c79a0b235cca"	"10849564"	"G"	"G16"	"G16H"	"G16H50/20"	"inventional"	9
"9300c6b7-02ff-455a-a4ca-88ba07c1c44b"	"10849564"	"A"	"A61"	"A61H"	"A61H2230/04"	"additional"	11
"9e23a303-bf74-48b6-9e33-653f726125b7"	"10849564"	"Y"	"Y10"	"Y10S"	"Y10S706/924"	"additional"	15
"a9033df7-8df2-4007-918d-dea956d3297c"	"10849564"	"G"	"G09"	"G09B"	"G09B23/288"	"inventional"	7
"bdcc294f-1f65-478e-824e-42055eeaa1bf"	"10849564"	"A"	"A61"	"A61B"	"A61B5/726"	"inventional"	4
"c5f2b3ce-5d90-4816-8bbc-dcddbeac1d3c"	"10849564"	"G"	"G16"	"G16H"	"G16H40/60"	"inventional"	8
"c7d4bc5a-a6e5-42c3-baa2-10355f4f19ed"	"10849564"	"A"	"A61"	"A61B"	"A61B5/7207"	"inventional"	2
"ce66f9f5-6f4d-4664-96e6-cdf29f113512"	"10849564"	"A"	"A61"	"A61H"	"A61H2201/5015"	"additional"	10
"dc5a5037-2915-4e60-99d8-d95751caf994"	"10849564"	"A"	"A61"	"A61B"	"A61B5/363"	"inventional"	1
"e4d09690-f17e-4a85-a433-c7864cdd39f7"	"10849564"	"Y"	"Y10"	"Y10S"	"Y10S128/923"	"additional"	13
"ff11a7fd-d18f-41bc-84fc-a671f429a470"	"10849564"	"Y"	"Y10"	"Y10S"	"Y10S128/924"	"additional"	14
"0b9ace4e-00af-4758-b65c-744ca3e6f385"	"10897495"	"H"	"H04"	"H04L"	"H04L67/1014"	"inventional"	0
"0db6d033-473f-4b08-8009-99aa23e90f0e"	"10897495"	"G"	"G06"	"G06N"	"G06N3/08"	"inventional"	3
"4727b890-3459-45fa-890d-f02b5e738952"	"10897495"	"Y"	"Y10"	"Y10S"	"Y10S706/917"	"additional"	10
"61dc5415-166f-4644-bad2-f127638010d7"	"10897495"	"G"	"G06"	"G06N"	"G06N5/046"	"inventional"	4
"6b65df6b-dbd6-4468-b29a-140cd6214672"	"10897495"	"H"	"H04"	"H04L"	"H04L67/306"	"inventional"	8
"884f51a7-7c8c-4e00-85ad-4fea16b892f0"	"10897495"	"Y"	"Y10"	"Y10S"	"Y10S706/909"	"additional"	9
"88e02ca5-25fa-479d-914d-13a83adb106d"	"10897495"	"G"	"G06"	"G06N"	"G06N20/00"	"inventional"	5
"b099c13f-4aef-4367-affe-db20eb9e00a1"	"10897495"	"G"	"G06"	"G06F"	"G06F40/211"	"inventional"	2
"c81f28bd-9e0b-402d-a74e-f84f28691aa4"	"10897495"	"G"	"G06"	"G06Q"	"G06Q30/02"	"inventional"	6
"cb63b927-f577-4a0c-b29f-12876da2ecfd"	"10897495"	"G"	"G06"	"G06F"	"G06F16/958"	"inventional"	1
"e4424a85-43dc-4b6f-836c-13498dedd813"	"10897495"	"Y"	"Y10"	"Y10S"	"Y10S706/925"	"additional"	11
"e5b3e94a-5ef2-42f1-b650-b74f70956130"	"10897495"	"H"	"H04"	"H04L"	"H04L67/1002"	"inventional"	7
"08b9e3ee-1313-4073-bc23-ba198ca2c9fe"	"4193115"	"G"	"G05"	"G05B"	"G05B19/4163"	"inventional"	0
"6107b2bc-6b2d-495d-b2cb-9718d3c13c91"	"4193115"	"G"	"G05"	"G05B"	"G05B2219/33027"	"additional"	1
"dfa711bc-fd13-40ee-8b01-f74903e844c2"	"4193115"	"Y"	"Y10"	"Y10S"	"Y10S706/904"	"additional"	2
"068bcdfc-be8c-4c27-8436-416e51a38770"	"4204253"	"G"	"G05"	"G05B"	"G05B2219/36008"	"additional"	4
"226a5fe3-bf6f-415c-bf76-cd13d47c18b0"	"4204253"	"Y"	"Y10"	"Y10S"	"Y10S706/908"	"additional"	8
"4bff64f8-2f18-4a98-888e-de9063958c4a"	"4204253"	"G"	"G06"	"G06F"	"G06F3/0227"	"inventional"	0
"5d7fa1b0-1c6f-40e9-bbd6-6278f9c63d35"	"4204253"	"G"	"G05"	"G05B"	"G05B19/409"	"inventional"	1
"658193d5-0b91-4cd9-8c59-d5d13ec15d7f"	"4204253"	"Y"	"Y02"	"Y02P"	"Y02P90/02"	"additional"	7
"7edc7931-ff1e-4e25-a088-da4a319f2ad4"	"4204253"	"G"	"G05"	"G05B"	"G05B19/4093"	"inventional"	2
"beec44a7-0e43-414f-9b2c-5763ada88f40"	"4204253"	"G"	"G05"	"G05B"	"G05B2219/36159"	"additional"	6
"d1cf4843-eb04-4b62-bba2-89e76a033c8d"	"4204253"	"G"	"G05"	"G05B"	"G05B2219/36043"	"additional"	5
"e62a636b-a094-4f85-8513-6083c6c4dff1"	"4204253"	"G"	"G05"	"G05B"	"G05B2219/34215"	"additional"	3